lon,lat,T21_max_K,fire_count,likely_source,confidence,cluster
6.504925551130485,5.086710296326791,349.29998779296875,2.850495804729214,agricultural_or_other,nominal,0
6.508775473776712,5.711600865842433,336.0,3.5626326963906583,agricultural_or_other,nominal,1
6.508294233445934,5.795817923728638,338.20001220703125,3.0,agricultural_or_other,nominal,1
6.520084621550002,5.688020089634295,335.3999938964844,3.0,agricultural_or_other,nominal,1
6.518342199662702,5.700797850141168,336.0,5.846859562455894,refinery_candidate,nominal,1
6.520084621550002,5.716653889315605,333.3999938964844,8.0,refinery_candidate,nominal,1
6.52345330386545,5.762131100574156,346.20001220703125,4.26713780918728,agricultural_or_other,nominal,1
6.521768962707727,5.091763319799963,349.29998779296875,3.0,agricultural_or_other,nominal,0
6.533559350811795,5.721706912788777,348.8999938964844,8.93992932862191,refinery_candidate,nominal,1
6.534631204275801,5.655864485714108,342.70001220703125,9.102328863796751,refinery_candidate,nominal,1
6.540296715442691,5.671176678057054,330.6000061035156,3.7328621908127215,agricultural_or_other,nominal,1
6.5392512623103105,5.7081160220678315,348.8999938964844,5.218926553672317,refinery_candidate,nominal,1
6.53945454486383,5.734339471471708,348.8999938964844,5.302901627742393,refinery_candidate,nominal,1
6.553771444704484,5.716653889315605,340.1000061035156,3.5,agricultural_or_other,nominal,1
6.693571760795585,5.462318374499266,330.70001220703125,2.8563340410474165,agricultural_or_other,nominal,-1
6.713573312043558,5.524428454690342,334.29998779296875,2.7791107974594214,agricultural_or_other,nominal,-1
6.732311607423239,5.600434349432642,335.70001220703125,3.06148409893993,agricultural_or_other,nominal,-1
6.779473159839514,5.021020991175551,334.5,3.0,agricultural_or_other,nominal,-1
6.813159982993996,5.273672164834166,341.0,5.998586572438164,refinery_candidate,nominal,2
6.813159982993996,5.290515576411408,332.0,4.791519434628976,agricultural_or_other,nominal,2
6.840914995984319,5.378247781061558,347.6000061035156,4.842998585572843,agricultural_or_other,nominal,-1
6.870427582356616,5.56674752627816,330.79998779296875,4.0,agricultural_or_other,nominal,3
6.871550476461765,5.548262961778009,332.5,3.0488668555240794,agricultural_or_other,nominal,3
6.887922996962653,5.211949211441438,336.70001220703125,3.021186440677966,agricultural_or_other,nominal,-1
6.887270993933857,5.56674752627816,331.3999938964844,4.0,agricultural_or_other,nominal,3
6.947907275611924,5.029442696964171,341.79998779296875,2.8609929078014185,agricultural_or_other,nominal,4
6.947907275611924,5.046286108541413,341.79998779296875,3.7219858156028374,agricultural_or_other,nominal,4
6.98327843992413,5.3039903056732,346.29998779296875,2.8563340410474165,agricultural_or_other,nominal,5
7.000121851501372,5.3039903056732,346.29998779296875,3.7841472045293703,agricultural_or_other,nominal,5
7.019997077162516,5.309380197377917,331.3999938964844,3.5467422096317276,agricultural_or_other,nominal,5
7.025386968867233,5.31241201146182,331.3999938964844,2.9305949008498584,agricultural_or_other,nominal,5
7.052336427390819,5.371363951982164,330.79998779296875,3.0,agricultural_or_other,nominal,-1
7.0590737920217155,5.2298792947333395,338.29998779296875,3.0,agricultural_or_other,nominal,6
7.067495497810335,5.2450383651528565,338.29998779296875,2.7183297947629153,agricultural_or_other,nominal,6
7.0792858859144046,5.2450383651528565,331.70001220703125,2.8611898016997164,agricultural_or_other,nominal,6
7.099497979807094,5.179349060001616,336.0,3.0,agricultural_or_other,nominal,7
7.107919685595714,5.162505648424375,345.3999938964844,2.9278131634819533,agricultural_or_other,nominal,7
7.124763097172955,5.213035883156098,334.8999938964844,2.8563340410474165,agricultural_or_other,nominal,7
7.124763097172955,5.154083942635755,345.3999938964844,3.0700636942675157,agricultural_or_other,nominal,7
7.141606508750196,5.162505648424375,345.3999938964844,2.9292285916489735,agricultural_or_other,nominal,7
7.138237826434748,5.246722706310581,331.70001220703125,4.499646142958245,agricultural_or_other,nominal,7
7.15664941771056,5.248697451116188,330.20001220703125,3.3340395480225986,agricultural_or_other,nominal,7
7.156765579169713,5.088394637484515,344.8999938964844,3.7342756183745585,agricultural_or_other,nominal,7
7.160134261485162,5.287146894095959,337.8999938964844,3.0,agricultural_or_other,nominal,7
7.160134261485162,5.29556859988458,337.8999938964844,2.9305949008498584,agricultural_or_other,nominal,7
7.1764786090156685,5.136055253947522,346.8999938964844,4.0,agricultural_or_other,nominal,7
7.190970661141956,5.124672754727803,346.8999938964844,3.01987224982257,agricultural_or_other,nominal,7
7.192136743481919,5.162505648424375,336.3999938964844,2.9278131634819533,agricultural_or_other,nominal,7
7.197189766955091,5.162505648424375,336.3999938964844,3.0,agricultural_or_other,nominal,7
7.1938210846396435,5.182717742317065,337.79998779296875,3.5286219081272088,agricultural_or_other,nominal,7
