NDMI,NDVI,NDVI_change,NDWI,SAR_change_dB,VH,VV,chronic_spill_mask,dark_spot_magnitude,dark_spot_mask,new_spill_mask,lon,lat
0.04361709579825401,0.5513246059417725,0.08488890528678894,-0.5461148023605347,-0.12048495390928782,-14.507044468042253,-7.539930708168772,0,-0.0037263098897752523,0,0,6.5352436919695185,5.008107708966333
0.0060247923247516155,0.48545920848846436,-0.019295990467071533,-0.44441279768943787,-0.4845303464413586,-14.351198197991746,-7.503935198066922,0,-0.019625553663083335,0,0,6.580159456175495,5.008107708966333
0.11851722002029419,0.5905954241752625,0.09979557991027832,-0.5751877427101135,-0.5649916275957265,-14.282632229220575,-7.5443505112885365,0,-0.0012957439494027095,0,0,6.625075220381471,5.008107708966333
0.15020132064819336,0.5550357103347778,0.05934074521064758,-0.5040603876113892,0.047528391480422094,-14.23912880557577,-7.131256441106093,0,-0.2055424238467341,0,0,6.6699909845874465,5.008107708966333
0.08874461054801941,0.6435364484786987,0.12283778190612793,-0.5963051915168762,-0.09708880593635882,-14.673740186199158,-7.480251850903823,0,0.014936868157553372,0,0,6.714906748793423,5.008107708966333
0.2059226632118225,0.6700000166893005,0.05502039194107056,-0.6033973097801208,0.02124219784609238,-13.450718078975267,-6.196363784020214,0,-0.5781628003126629,0,0,6.759822512999399,5.008107708966333
0.051674630492925644,0.5771915912628174,0.05015861988067627,-0.5536874532699585,-0.15916656990609557,-14.298391401769148,-6.883132025518936,0,-0.32648882931319456,0,0,6.8047382772053755,5.008107708966333
0.13119110465049744,0.708135724067688,0.11603182554244995,-0.66313236951828,0.0028625968707078897,-15.01895600033454,-8.07228564429625,0,0.12078702265263187,0,0,6.849654041411351,5.008107708966333
0.0103940200060606,0.5643712878227234,0.06906828284263611,-0.5792966485023499,-0.6033710150002598,-15.071094297671488,-8.096185334796393,0,0.00550860491207111,0,0,6.894569805617327,5.008107708966333
0.14189513027668,0.7134608626365662,0.15757131576538086,-0.645171046257019,0.46877179576454253,-14.247489139915162,-7.730623099889414,0,-0.052893735243308274,0,0,6.939485569823304,5.008107708966333
0.0862964391708374,0.6523852944374084,0.15718281269073486,-0.5919203758239746,0.3534252349697047,-14.11644836464778,-7.568903344426314,0,-0.08658247476690305,0,0,6.984401334029279,5.008107708966333
0.024577230215072632,0.5340985655784607,0.112765371799469,-0.5205047130584717,0.35587676687687697,-13.22400446922725,-5.857617044436539,0,-0.8373249944956748,0,0,7.029317098235255,5.008107708966333
-0.010056836530566216,0.4347275197505951,0.011285066604614258,-0.4908692538738251,0.028987758265103025,-13.620948842352314,-6.116980369188802,0,-0.6636882088138051,0,0,7.074232862441232,5.008107708966333
0.06763605028390884,0.5118674635887146,0.021153181791305542,-0.5261121988296509,-0.4612978376229684,-15.50171590858471,-8.765814307072864,0,0.20523679405464693,0,0,7.119148626647208,5.008107708966333
0.08713693916797638,0.4712643623352051,0.03235650062561035,-0.523347020149231,-0.6225531185720268,-16.098159270446605,-9.179598402600954,0,0.6217913758396056,0,0,7.164064390853183,5.008107708966333
0.07750984281301498,0.5396219491958618,-0.035914719104766846,-0.4783605635166168,-0.5697686363513093,-14.235093886427002,-6.9391358647249195,0,-0.2361486668651474,0,0,6.5352436919695185,5.053023473172308
0.1552899032831192,0.5299108028411865,-0.035931169986724854,-0.453043133020401,-0.4775621492514439,-14.413078261777871,-7.544742163866802,0,0.020363948613724377,0,0,6.580159456175495,5.053023473172308
0.03953517600893974,0.581605851650238,0.10127058625221252,-0.559861958026886,-0.4226843628359189,-14.448182703547207,-7.779715281118732,0,0.003110112947362333,0,0,6.625075220381471,5.053023473172308
0.1261846423149109,0.5430442690849304,0.10538241267204285,-0.4869654178619385,0.07142395255264322,-14.466620130925376,-7.5589615549647,0,0.048901058599192866,0,0,6.6699909845874465,5.053023473172308
0.13230398297309875,0.6209150552749634,0.04625523090362549,-0.5696202516555786,-0.6276395333412896,-14.665543549856176,-6.125423301736493,0,-0.6019374008521361,0,0,6.714906748793423,5.053023473172308
0.1133866235613823,0.5985130071640015,0.08528357744216919,-0.5670554041862488,-0.2381407085593068,-14.93109926540438,-7.535690286247734,0,0.04888055435081061,0,0,6.759822512999399,5.053023473172308
0.06901099532842636,0.667961835861206,0.27196189761161804,-0.5968483090400696,-0.15596265566255063,-14.64903735683826,-7.800543343855447,0,0.11922348439113337,0,0,6.8047382772053755,5.053023473172308
0.14683817327022552,0.7336357831954956,0.1755111813545227,-0.6553217768669128,0.06184629155970711,-14.858218640029763,-8.111542707570155,0,0.06827057197990584,0,0,6.849654041411351,5.053023473172308
0.013296002522110939,0.5813614726066589,0.1282697319984436,-0.5938421487808228,0.2767809538651633,-15.117851768932205,-8.26555328223434,0,0.20243633195491562,0,0,6.894569805617327,5.053023473172308
-0.03534096106886864,0.5479233264923096,0.14312896132469177,-0.5650730133056641,0.02724456045204171,-15.050819553226127,-8.55457734808761,0,0.3154278808441951,0,0,6.939485569823304,5.053023473172308
0.01175797451287508,0.5127688050270081,0.1894962191581726,-0.5518786311149597,0.2904323548263985,-14.880863395565683,-8.762665120456104,0,0.46950094562317235,0,0,6.984401334029279,5.053023473172308
-0.05948251858353615,0.41649484634399414,0.0392669141292572,-0.43824145197868347,0.5870617158714673,-16.31631944785986,-9.267496176661961,0,0.6284551707970116,0,0,7.029317098235255,5.053023473172308
0.0987854152917862,0.6271666884422302,0.1291043758392334,-0.5778475403785706,0.08076939539253125,-14.920139986196792,-8.309225135635733,0,0.2125080881071696,0,0,7.074232862441232,5.053023473172308
0.06844738870859146,0.5857678055763245,0.10273388028144836,-0.5679758191108704,0.042958065521304434,-15.232446562525649,-8.740416738948907,0,0.28750864067240006,0,0,7.119148626647208,5.053023473172308
0.02679891511797905,0.3796427547931671,-0.030911505222320557,-0.4358217716217041,-0.26092190147373806,-14.772953662817155,-5.8248227715406085,0,-0.9925380047142215,0,0,7.164064390853183,5.053023473172308
0.09981401264667511,0.5571437478065491,0.14445573091506958,-0.4890093207359314,-0.3314567714066001,-14.314011497440738,-7.489439875977789,0,-0.031362574653393684,0,0,6.5352436919695185,5.097939237378284
0.10930396616458893,0.5566967129707336,0.02319437265396118,-0.4900597631931305,0.017123284040045483,-14.139282320824137,-6.665948182156446,0,-0.31435964073575196,0,0,6.580159456175495,5.097939237378284
0.03952278941869736,0.5011319518089294,0.03921946883201599,-0.4630460739135742,0.5882257633690777,-12.341188282113714,-4.386800336812486,0,-1.230351419777385,0,0,6.625075220381471,5.097939237378284
0.06364535540342331,0.5992403030395508,0.09107571840286255,-0.5377297401428223,-0.47532639699545154,-14.147439946465441,-7.194070796066251,0,-0.14701915442336633,0,0,6.6699909845874465,5.097939237378284
0.1848870813846588,0.6773098111152649,0.05379617214202881,-0.6287645697593689,-0.22292808326893443,-14.239464916113123,-6.128095493246617,0,-0.5102107166110933,0,0,6.714906748793423,5.097939237378284
0.18745800852775574,0.7175251245498657,0.08261346817016602,-0.6491446495056152,-0.10087661234449019,-14.139802990472324,-6.302743925655809,0,-0.4066724343087017,0,0,6.759822512999399,5.097939237378284
