cluster_id,n_hotspots,centroid_lat,centroid_lon,mean_T21_K,max_T21_K,mean_fire_count,dominant_source,risk_label
0,2,5.089236808063377,6.513347256919106,349.29998779296875,349.29998779296875,2.9252479023646067,agricultural_or_other,LOW
1,12,5.715239931554282,6.528333248021643,340.4416681925456,348.8999938964844,5.289464886056661,agricultural_or_other,LOW
2,2,5.282093870622787,6.813159982993996,336.5,341.0,5.39505300353357,refinery_candidate,HIGH
3,3,5.560586004778109,6.876416350917412,331.56666056315106,332.5,3.6829556185080263,agricultural_or_other,LOW
4,2,5.037864402752792,6.947907275611924,341.79998779296875,341.79998779296875,3.291489361702128,agricultural_or_other,LOW
5,4,5.3074432050465346,7.007196084363812,338.84999084472656,346.29998779296875,3.279454589014593,agricultural_or_other,LOW
6,3,5.2399853416796836,7.068618391915486,336.09999593098956,338.29998779296875,2.859839865487544,agricultural_or_other,LOW
7,15,5.187097834625012,7.15473790533457,339.6066630045573,346.8999938964844,3.2505535348055234,agricultural_or_other,LOW
