VV,VH,dark_spot_mask,dark_spot_magnitude,SAR_change_dB,new_spill_mask,chronic_spill_mask,NDVI,NDWI,NDMI,NDVI_change,lat,lon,risk_label,iso_anomaly,iso_score,iso_score_norm,xgb_prob_low,xgb_prob_medium,xgb_prob_high,xgb_pred,combined_risk_score,risk_tier
-7.539930708168772,-14.507044468042253,0,-0.0037263098897752,-0.1204849539092878,0,0,0.5513246059417725,-0.5461148023605347,0.043617095798254,0.0848889052867889,5.008107708966333,6.535243691969519,0,0,-0.35573459446246747,0.0,0.99850875,0.00090291013,0.0005883389,0,0.00033861579140648246,LOW
-7.503935198066922,-14.351198197991746,0,-0.0196255536630833,-0.4845303464413586,0,0,0.4854592084884643,-0.4444127976894378,0.0060247923247516,-0.0192959904670715,5.008107708966333,6.580159456175495,0,0,-0.375950855284601,0.046046872579117104,0.993651,0.0056932587,0.0006557771,0,0.018807729176281686,LOW
-7.544350511288536,-14.282632229220576,0,-0.0012957439494027,-0.5649916275957265,0,0,0.5905954241752625,-0.5751877427101135,0.1185172200202941,0.0997955799102783,5.008107708966333,6.625075220381471,1,0,-0.37846004725863347,0.051762095790835794,0.025687309,0.9725461,0.0017665252,1,0.02192334945723964,LOW
-7.131256441106093,-14.23912880557577,0,-0.2055424238467341,0.047528391480422,0,0,0.5550357103347778,-0.5040603876113892,0.1502013206481933,0.0593407452106475,5.008107708966333,6.669990984587447,0,0,-0.36239272057702265,0.015165311108221946,0.99868804,0.0008416306,0.0004703423,0,0.006316617794193214,LOW
-7.480251850903823,-14.673740186199158,0,0.0149368681575533,-0.0970888059363588,0,0,0.6435364484786987,-0.5963051915168762,0.0887446105480194,0.1228377819061279,5.008107708966333,6.714906748793423,0,0,-0.36242077158878305,0.015229203307457584,0.99865854,0.0008711355,0.00047028446,0,0.006342131512906902,LOW
-6.196363784020214,-13.450718078975267,0,-0.5781628003126629,0.0212421978460923,0,0,0.6700000166893005,-0.6033973097801208,0.2059226632118225,0.0550203919410705,5.008107708966333,6.759822512999399,0,0,-0.41885388875418245,0.14376773860932324,0.99845314,0.0010250073,0.00052182307,0,0.05779603579867816,LOW
-6.883132025518936,-14.298391401769148,0,-0.3264888293131945,-0.1591665699060955,0,0,0.5771915912628174,-0.5536874532699585,0.0516746304929256,0.0501586198806762,5.008107708966333,6.804738277205376,0,0,-0.3638368585413366,0.018454645244464718,0.997592,0.0016825119,0.00072550366,0,0.00782291154346968,LOW
-8.07228564429625,-15.01895600033454,0,0.1207870226526318,0.0028625968707078,0,0,0.708135724067688,-0.66313236951828,0.1311911046504974,0.1160318255424499,5.008107708966333,6.849654041411351,0,0,-0.38524246435318993,0.06721050627975966,0.9987552,0.0007976949,0.00044713184,0,0.027117361810563168,LOW
-8.096185334796393,-15.071094297671488,0,0.0055086049120711,-0.6033710150002598,0,0,0.5643712878227234,-0.5792966485023499,0.0103940200060606,0.0690682828426361,5.008107708966333,6.894569805617327,1,0,-0.3919577380982163,0.08250598338067727,0.013230564,0.9842516,0.0025178774,1,0.03478203076816429,LOW
-7.730623099889414,-14.247489139915162,0,-0.0528937352433082,0.4687717957645425,0,0,0.7134608626365662,-0.645171046257019,0.14189513027668,0.1575713157653808,5.008107708966333,6.939485569823304,0,0,-0.4030454988560929,0.10776073802089747,0.9987649,0.00078342337,0.0004517791,0,0.043340925182456004,LOW
-7.568903344426314,-14.11644836464778,0,-0.086582474766903,0.3534252349697047,0,0,0.6523852944374084,-0.5919203758239746,0.0862964391708374,0.1571828126907348,5.008107708966333,6.984401334029279,0,0,-0.37928297995206783,0.053636501607478015,0.99878174,0.00076649536,0.00045178673,0,0.021691236306887074,LOW
-5.857617044436539,-13.22400446922725,0,-0.8373249944956748,0.3558767668768769,0,0,0.5340985655784607,-0.5205047130584717,0.0245772302150726,0.112765371799469,5.008107708966333,7.029317098235255,0,0,-0.4174476392862561,0.1405647036547505,0.998145,0.001173462,0.0006816101,0,0.056634154244706504,LOW
-6.116980369188802,-13.620948842352314,0,-0.6636882088138051,0.028987758265103,0,0,0.4347275197505951,-0.4908692538738251,-0.0100568365305662,0.0112850666046142,5.008107708966333,7.074232862441232,0,0,-0.40293302035879225,0.1075045441045911,0.9988115,0.00091679336,0.0002717377,0,0.043103988748682515,LOW
-8.765814307072864,-15.50171590858471,0,0.2052367940546469,-0.4612978376229684,0,0,0.5118674635887146,-0.5261121988296509,0.0676360502839088,0.0211531817913055,5.008107708966333,7.119148626647208,0,0,-0.3864000796662739,0.06984722358797979,0.9939792,0.004666183,0.0013546138,0,0.028849776173175593,LOW
-9.179598402600954,-16.098159270446605,0,0.6217913758396056,-0.6225531185720268,0,0,0.4712643623352051,-0.523347020149231,0.0871369391679763,0.0323565006256103,5.008107708966333,7.164064390853183,1,0,-0.43577418962145814,0.1823073550542571,0.014092646,0.9827015,0.0032058656,1,0.07521638416483016,LOW
-6.93913586472492,-14.235093886427002,0,-0.2361486668651474,-0.5697686363513093,0,0,0.5396219491958618,-0.4783605635166168,0.0775098428130149,-0.0359147191047668,5.053023473172308,6.535243691969519,1,0,-0.381136852384379,0.05785909392658328,0.05345431,0.94575614,0.000789614,1,0.023632570047943613,LOW
-7.544742163866802,-14.413078261777873,0,0.0203639486137243,-0.4775621492514439,0,0,0.5299108028411865,-0.453043133020401,0.1552899032831192,-0.0359311699867248,5.053023473172308,6.580159456175495,0,0,-0.3824161791078529,0.06077303509212095,0.996058,0.0035935915,0.00034846878,0,0.024468689596333526,LOW
-7.779715281118732,-14.448182703547207,0,0.0031101129473623,-0.4226843628359189,0,0,0.581605851650238,-0.559861958026886,0.0395351760089397,0.1012705862522125,5.053023473172308,6.625075220381471,0,0,-0.36843428984691245,0.028926281685132338,0.99458283,0.00377633,0.0016407807,0,0.012695115067300124,LOW
-7.5589615549647,-14.466620130925376,0,0.0489010585991928,0.0714239525526432,0,0,0.5430442690849304,-0.4869654178619385,0.1261846423149109,0.1053824126720428,5.053023473172308,6.669990984587447,0,0,-0.36273017767183463,0.015933942062404838,0.9987275,0.0008049808,0.00046756028,0,0.006621992511617725,LOW
-6.125423301736493,-14.665543549856176,0,-0.6019374008521361,-0.6276395333412896,0,0,0.6209150552749634,-0.5696202516555786,0.1323039829730987,0.0462552309036254,5.053023473172308,6.714906748793423,1,0,-0.41230905893941666,0.12886048413808215,0.04240664,0.9561537,0.0014396812,1,0.05251861044622861,LOW
-7.535690286247734,-14.93109926540438,0,0.0488805543508106,-0.2381407085593068,0,0,0.5985130071640015,-0.5670554041862488,0.1133866235613823,0.0852835774421691,5.053023473172308,6.759822512999399,0,0,-0.36157716502745824,0.013307708319932443,0.9970251,0.0019355585,0.0010394283,0,0.005998582592589497,LOW
-7.800543343855447,-14.64903735683826,0,0.1192234843911333,-0.1559626556625506,0,0,0.667961835861206,-0.5968483090400696,0.0690109953284263,0.271961897611618,5.053023473172308,6.804738277205376,0,0,-0.43657984952348855,0.18414241838161005,0.99759454,0.0015559886,0.00084947125,0,0.07419060255683628,LOW
-8.111542707570155,-14.858218640029763,0,0.0682705719799058,0.0618462915597071,0,0,0.7336357831954956,-0.6553217768669128,0.1468381732702255,0.1755111813545227,5.053023473172308,6.849654041411351,0,0,-0.4011774807556493,0.10350592590685714,0.99864,0.0008058543,0.0005540858,0,0.04171540522595407,LOW
-8.26555328223434,-15.117851768932203,0,0.2024363319549156,0.2767809538651633,0,0,0.5813614726066589,-0.5938421487808228,0.0132960025221109,0.1282697319984436,5.053023473172308,6.894569805617327,0,0,-0.39206894758090627,0.08275928684386802,0.9977957,0.00094545947,0.0012588485,0,0.03394308178077417,LOW
-8.55457734808761,-15.050819553226129,0,0.3154278808441951,0.0272445604520417,0,0,0.5479233264923096,-0.5650730133056641,-0.0353409610688686,0.1431289613246917,5.053023473172308,6.939485569823304,0,0,-0.402661740518352,0.10688664604936027,0.9963651,0.0014117386,0.0022231357,0,0.04431417623172793,LOW
-8.762665120456104,-14.880863395565685,0,0.4695009456231723,0.2904323548263985,0,0,0.5127688050270081,-0.5518786311149597,0.011757974512875,0.1894962191581726,5.053023473172308,6.984401334029279,0,0,-0.4200968972687894,0.1465989572600146,0.99636203,0.0011244994,0.0025134333,0,0.06041590131907393,LOW
-9.26749617666196,-16.31631944785986,0,0.6284551707970116,0.5870617158714673,0,0,0.4164948463439941,-0.4382414519786834,-0.0594825185835361,0.0392669141292572,5.053023473172308,7.029317098235255,0,0,-0.4687111262998016,0.2573282968455133,0.98818564,0.0030356378,0.008778768,0,0.10938672621612061,LOW
-8.309225135635733,-14.920139986196792,0,0.2125080881071696,0.0807693953925312,0,0,0.6271666884422302,-0.5778475403785706,0.0987854152917862,0.1291043758392334,5.053023473172308,7.074232862441232,0,0,-0.37784459836177325,0.05036027884842409,0.99818295,0.00091623486,0.00090079504,0,0.020716076488273408,LOW
-8.740416738948907,-15.232446562525649,0,0.2875086406724,0.0429580655213044,0,0,0.5857678055763245,-0.5679758191108704,0.0684473887085914,0.1027338802814483,5.053023473172308,7.119148626647208,0,0,-0.3801272229273315,0.05555944616432784,0.99647504,0.0013503236,0.002174656,0,0.023747090530550175,LOW
-5.8248227715406085,-14.772953662817155,0,-0.9925380047142216,-0.260921901473738,0,0,0.3796427547931671,-0.4358217716217041,0.026798915117979,-0.0309115052223205,5.053023473172308,7.164064390853183,0,0,-0.4111534781288917,0.12622840084605913,0.9970866,0.0021922102,0.00072122907,0,0.05092922144315231,LOW
-7.489439875977789,-14.314011497440738,0,-0.0313625746533936,-0.3314567714066001,0,0,0.5571437478065491,-0.4890093207359314,0.0998140126466751,0.1444557309150695,5.097939237378284,6.535243691969519,0,0,-0.36991425097234903,0.03229721075874292,0.99625224,0.0023543222,0.0013934909,0,0.013858805255575125,LOW
-6.665948182156446,-14.139282320824137,0,-0.3143596407357519,0.0171232840400454,0,0,0.5566967129707336,-0.4900597631931305,0.1093039661645889,0.0231943726539611,5.097939237378284,6.580159456175495,0,0,-0.36602723532545134,0.023443698441085625,0.9993272,0.0005046959,0.00016808965,0,0.009402243867606642,LOW
-4.386800336812486,-12.341188282113714,0,-1.230351419777385,0.5882257633690777,0,0,0.5011319518089294,-0.4630460739135742,0.0395227894186973,0.0392194688320159,5.097939237378284,6.625075220381471,0,0,-0.459132338776473,0.23551055258361475,0.99898356,0.00072490354,0.00029156386,0,0.09432119875769258,LOW
-7.194070796066251,-14.14743994646544,0,-0.1470191544233663,-0.4753263969954515,0,0,0.5992403030395508,-0.5377297401428223,0.0636453554034233,0.0910757184028625,5.097939237378284,6.669990984587447,0,0,-0.36933837934321373,0.030985539537144446,0.9904219,0.007905856,0.0016722169,0,0.01354229545322716,LOW
-6.128095493246617,-14.239464916113125,0,-0.5102107166110933,-0.2229280832689344,0,0,0.6773098111152649,-0.6287645697593689,0.1848870813846588,0.0537961721420288,5.097939237378284,6.714906748793423,0,0,-0.41971315649930596,0.145724905303954,0.99686015,0.0020748933,0.0010649838,0,0.05898454668868141,LOW
-6.302743925655809,-14.139802990472324,0,-0.4066724343087017,-0.1008766123444901,0,0,0.7175251245498657,-0.6491446495056152,0.1874580085277557,0.082613468170166,5.097939237378284,6.759822512999399,0,0,-0.41425250345394093,0.13328709609724854,0.99840385,0.0010576735,0.00053845334,0,0.05361619864976888,LOW
-0.7288828320963356,-9.251699799752592,0,-2.653130243210628,1.982661167422092,0,0,0.3130943775177002,-0.3703570067882538,-0.0889474973082542,0.0410564243793487,5.097939237378284,6.804738277205376,0,1,-0.696353946732192,0.7758336741863505,0.9952297,0.002929932,0.001840335,0,0.3116071035867459,LOW
-8.554355590255398,-14.88065483395742,0,0.3371165873316018,0.0972206025454287,0,0,0.4164537787437439,-0.4991887807846069,-0.1058064252138137,0.1823118925094604,5.097939237378284,6.849654041411351,0,0,-0.4682098917128822,0.25618662750521404,0.99190444,0.0030370355,0.005058577,0,0.10615173813956123,LOW
-7.829036773399538,-14.92227827794907,0,-0.0298451524602737,0.2393267936323315,0,0,0.6939550638198853,-0.635211706161499,0.1064981818199157,0.1585187911987304,5.097939237378284,6.894569805617327,0,0,-0.38602969442131885,0.06900359170522541,0.9988102,0.0007463344,0.0004435159,0,0.027831895509080964,LOW
-7.303534958177095,-13.9678025901541,0,-0.3768248673201126,-0.0534572829673463,0,0,0.7458685040473938,-0.6593368053436279,0.2050697058439254,0.1168887615203857,5.097939237378284,6.939485569823304,0,0,-0.41233256131603147,0.12891401584460338,0.99863726,0.0008930894,0.00046965815,0,0.05181558880010595,LOW
-8.525798193317739,-14.937198213165315,0,0.3080340930144149,-0.11316670975914,0,0,0.6595744490623474,-0.6087824106216431,0.0642605572938919,0.1554027795791626,5.097939237378284,6.984401334029279,0,0,-0.39506429724908204,0.08958183853697754,0.997543,0.0010375051,0.0014194968,0,0.036792078226047666,LOW
-9.281642253003186,-15.5511935191741,0,0.5486886564032591,-0.392282438556661,0,0,0.3624486923217773,-0.5039142966270447,-0.1612326800823211,0.0450705587863922,5.097939237378284,7.029317098235255,0,1,-0.49440431188675144,0.3158500409644156,0.95640117,0.009556686,0.034042135,0,0.15166265856310962,LOW
-8.090596534048894,-14.697113497680734,0,0.0730463148768458,0.4369728300498909,0,0,0.682033896446228,-0.6189233064651489,0.1365144103765487,0.1475284695625305,5.097939237378284,7.074232862441232,0,0,-0.39517303331202364,0.08982950825587743,0.998635,0.0008044002,0.00056057057,0,0.03624968113026168,LOW
-8.428776425019231,-15.25576425601536,0,0.2384115805925067,-0.1695121676661202,0,0,0.5680119395256042,-0.5280407667160034,0.1145068705081939,-0.0047911405563354,5.097939237378284,7.119148626647208,0,0,-0.37491785746082756,0.04369399834662191,0.9980957,0.0012540157,0.00065031205,0,0.017862498049411847,LOW
-7.98881335797268,-14.563336493721987,0,0.0043570883519003,-0.2390904902756654,0,0,0.4820199012756347,-0.4707850515842438,0.0407036505639553,0.0193059742450714,5.097939237378284,7.164064390853183,0,0,-0.36177094527502524,0.013749084420417668,0.998665,0.0009770276,0.00035805028,0,0.0056662650136870335,LOW
-6.844982441368908,-13.584720561321776,0,-0.3547163290836158,-0.2694816085027174,0,0,0.6108570694923401,-0.5405696034431458,0.1496471911668777,0.083655297756195,5.142855001584261,6.535243691969519,0,0,-0.38337238405721075,0.06295099707282492,0.99696916,0.0019806998,0.0010501625,0,0.025863914569222813,LOW
